Test ID,Category,Scenario,Expected,Status,Started At,Ended At,Evidence Directory,Operator Note
TC-001,Discovery,Discover savings balance,Correct answer; parameterized member_id; verified Savings-row balance binding; checkpoints; documented savings rules.,Pass,2026-09-23T21:02:23.164568+00:00,2026-09-23T21:03:15.875662+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-001,evidence path
TC-002,Discovery,Discover checking balance,"Correct checking balance; draft uses Checking row and balance column, not Savings.",Pass,2026-09-23T21:04:24.635651+00:00,2026-09-23T21:05:13.356069+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-002,evidence path
TC-003,Discovery,Discover member email,"New email draft: row Field=Email, value_column=Value; output name may vary.",Pass,2026-09-23T21:05:29.206310+00:00,2026-09-23T21:06:17.618767+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-003,evidence path
TC-004,Discovery,Discover member phone,"Distinct phone draft: row Field=Phone, value_column=Value.",Pass,2026-09-23T21:06:36.523665+00:00,2026-09-23T21:07:23.095211+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-004,evidence path
TC-005,Discovery,Discover member status,Draft binds requested Member ID row and Status column in search-results table; no unsupported detail-page <dl> binding.,Pass,2026-09-23T21:07:37.541578+00:00,2026-09-23T21:08:20.009926+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-005,evidence path
TC-006,Approval / Replay,Approve and cross-member replay: savings,Operator approves; deterministic replay for 67890; correct savings balance; no discovery.,Pass,2026-09-23T21:08:37.896220+00:00,2026-09-23T21:08:47.690895+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-006,actual result
TC-007,Approval / Replay,Approve and cross-member replay: checking,Operator approves; deterministic replay for 54321; correct checking balance; no discovery.,Pass,2026-09-23T21:08:55.862860+00:00,2026-09-23T21:09:01.432133+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-007,actual result
TC-008,Approval / Replay,Approve and cross-member replay: email,"Operator approves; replay returns 67890's email, not discovery email; no discovery.",Pass,2026-09-23T21:09:19.860470+00:00,2026-09-23T21:09:24.684704+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-008,actual result
TC-009,Approval / Replay,Approve and cross-member replay: phone,"Operator approves; replay returns 54321's phone, not discovery phone; no discovery.",Pass,2026-09-23T21:09:35.744283+00:00,2026-09-23T21:09:40.762115+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-009,actual result
TC-010,Approval / Replay,Approve and cross-member replay: status,Operator approves; replay returns status from 67890's search-results row; no discovery.,Pass,2026-09-23T21:09:50.854402+00:00,2026-09-23T21:09:55.897299+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-010,actual result
TC-011,Selection,Select each of five approved capabilities,Every paraphrase reuses its corresponding approved capability; no cross-selection or discovery.,Pass,2026-09-23T21:10:06.456387+00:00,2026-09-23T21:10:37.326878+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-011,actual result
TC-012,Savings rules,Existing savings business outcomes,Both existing business-outcome rules yield documented structured outcomes. Record both subresults.,Pass,2026-09-23T21:10:49.250572+00:00,2026-09-23T21:11:06.165600+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-012,actual result
TC-013,Savings recovery,Savings missing required input,Documented recoverable missing_required_inputs / REQUEST_INPUT behavior; no invented ID. Record any other already-defined savings recovery subconditions separately.,Pass,2026-09-23T21:11:20.804009+00:00,2026-09-23T21:11:41.817123+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-013,actual result
TC-014,Miscellaneous,External-origin allowlist,POLICY hard failure / origin_not_allowed; browser does not navigate outside local app.,Pass,2026-09-23T21:11:59.279187+00:00,2026-09-23T21:12:03.779394+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-014,actual result
TC-015,Miscellaneous,Unexpected checkpoint state,"Checkpoint fails; no successful extraction; evidence. If offered a handoff, choose unresolved.",Pass,2026-09-23T21:12:16.246157+00:00,2026-09-23T21:12:41.778016+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-015,actual result
TC-016,Miscellaneous,Human-assisted checkpoint recovery,Checkpoint reverified; SUCCESS; human_assisted=true. Do not bypass verification.,Pass,2026-09-23T21:12:52.081465+00:00,2026-09-23T21:13:17.458918+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-016,actual result
TC-017,Miscellaneous,Missing action target,No click on unrelated control; recorded safe failure/handoff.,Pass,2026-09-23T21:13:27.246520+00:00,2026-09-23T21:15:41.772776+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-017,actual result
TC-018,Miscellaneous,Ambiguous action target,Do not arbitrarily click either matching link; targeting failure/handoff; fixture restored.,Pass,2026-09-23T21:15:49.712058+00:00,2026-09-23T21:16:16.676856+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-018,actual result
TC-019,Miscellaneous,Ambiguous table output,HARD_FAILURE / OUTPUT / ambiguous_output; do not guess; fixture restored.,Pass,2026-09-23T21:16:27.608929+00:00,2026-09-23T21:16:35.321644+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-019,actual result
TC-020,Miscellaneous,Missing table output,"OUTPUT failure, no stale discovery value or wrong field; fixture restored.",Pass,2026-09-23T21:16:50.105633+00:00,2026-09-23T21:16:54.410379+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-020,actual result
TC-021,Miscellaneous,Missing / malformed required input,No invented ID or false success; classify missing and invalid separately; a generic handoff for malformed ID is not proof of structured invalid-input classification.,Pass,2026-09-23T21:17:11.256866+00:00,2026-09-23T21:17:51.446774+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-021,actual result
TC-022,Miscellaneous,Member not found / wrong-member protection,No value from a previous/wrong member; documented no-record outcome or safe failure.,Pass,2026-09-23T21:17:58.623445+00:00,2026-09-23T21:19:42.494536+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-022,actual result
TC-023,Miscellaneous,Validator LLM input serialization regression,"JSON serialization succeeds with nested model; no BrowserAction TypeError. This checks serialization only, not an actual remote LLM response.",Pass,2026-09-23T21:20:03.241676+00:00,2026-09-23T21:20:03.247697+00:00,evidence/acceptance_campaign_23/20260923_160221_123381/TC-023,actual result
